data_ref,commodity,ticker,preco_raw,volume,fonte,data_coleta
2024-10-23,soja,ZS=F,997.5,157963,Yahoo Finance / CBOT,2026-03-21
2024-10-24,soja,ZS=F,996.25,190684,Yahoo Finance / CBOT,2026-03-21
2024-10-25,soja,ZS=F,987.75,143812,Yahoo Finance / CBOT,2026-03-21
2024-10-28,soja,ZS=F,974.0,109011,Yahoo Finance / CBOT,2026-03-21
2024-10-29,soja,ZS=F,965.25,82001,Yahoo Finance / CBOT,2026-03-21
2024-10-30,soja,ZS=F,976.5,57700,Yahoo Finance / CBOT,2026-03-21
2024-10-31,soja,ZS=F,982.5,7820,Yahoo Finance / CBOT,2026-03-21
2024-11-01,soja,ZS=F,982.5,3051,Yahoo Finance / CBOT,2026-03-21
2024-11-04,soja,ZS=F,987.25,1524,Yahoo Finance / CBOT,2026-03-21
2024-11-05,soja,ZS=F,993.75,629,Yahoo Finance / CBOT,2026-03-21
2024-11-06,soja,ZS=F,994.5,391,Yahoo Finance / CBOT,2026-03-21
2024-11-07,soja,ZS=F,1015.5,545,Yahoo Finance / CBOT,2026-03-21
2024-11-08,soja,ZS=F,1016.75,427,Yahoo Finance / CBOT,2026-03-21
2024-11-11,soja,ZS=F,1011.75,212,Yahoo Finance / CBOT,2026-03-21
2024-11-12,soja,ZS=F,1003.5,209,Yahoo Finance / CBOT,2026-03-21
2024-11-13,soja,ZS=F,1004.25,86,Yahoo Finance / CBOT,2026-03-21
2024-11-14,soja,ZS=F,985.75,152378,Yahoo Finance / CBOT,2026-03-21
2024-11-15,soja,ZS=F,998.5,140153,Yahoo Finance / CBOT,2026-03-21
2024-11-18,soja,ZS=F,1009.75,107221,Yahoo Finance / CBOT,2026-03-21
2024-11-19,soja,ZS=F,998.5,114559,Yahoo Finance / CBOT,2026-03-21
2024-11-20,soja,ZS=F,990.5,110520,Yahoo Finance / CBOT,2026-03-21
2024-11-21,soja,ZS=F,977.75,145233,Yahoo Finance / CBOT,2026-03-21
2024-11-22,soja,ZS=F,983.5,113875,Yahoo Finance / CBOT,2026-03-21
2024-11-25,soja,ZS=F,985.75,100522,Yahoo Finance / CBOT,2026-03-21
